Work Title,ISRC,Artist,Album,UPC,Release Date,Record Label,PRO,Publisher,Ownership%
"Executive","QT6FJ2601704","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Million Eyes of Hope","QT6FJ2601705","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Pro Ex Ho","QT6FJ2601706","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Skippo","QT6FJ2601707","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"NOHO","QT6FJ2601708","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Sun Es Hot","QT6FJ2601709","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Picky Hello","QT6FJ2601710","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Trip Hard","QT6FJ2601711","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Try Every Hit","QT6FJ2601712","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Hall Through Hell","QT6FJ2601713","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Drive Everywhere You GO","QT6FJ2601714","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Mad World","QZZ7M2628144","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Bass Grade Party","QZZ7M2628145","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"DNB Mjolnir Bloodrave","QZZ7M2628146","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Spun-Out","QZZ7M2628147","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Jimminy Glitch-It","QZZ7M2628148","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Synthetic Halo","QZZ7M2628149","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Richard, Oh WOW","QZZ7M2628150","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"All-In (One Hand)","QZZ7M2628151","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"A Quick Diddy","QZZ7M2628152","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Dear Wanderer WB","QZZ7M2628153","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"The Special Mama","QZZ7M2628155","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"8-Bit Sax-Tune","QZZ7M2628156","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Poopie on the Floor","QZZ7M2628157","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Power-Up, Log-Out","QZZ7M2628158","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Control","QZZ7M2628159","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Mad World 26","QZZ7M2628160","The Weatherman","A Geostrophic Flow","825233951192","2026-05-15","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Star Spangled Country","QZZ772691799","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Thirty Years of Valor","QZZ772691800","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"God Bless the USA","QZZ772691801","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Black Flame","QZZ772691802","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Neighboorhood Watch","QZZ772691803","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"YMCA Country","QZZ772691804","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Liberty","QZZ772691805","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Living in America Country","QZZ772691806","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"American Women","QZZ772691807","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Return of the MACK Track","QZZ772691808","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"American Girl","QZZ772691809","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Real American Country","QZZ772691810","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"We Didn't Start the Fire","QZZ772691811","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"America F__K YEA","QZZ772691812","The Weatherman","Star Spangled Bangers","825293085561","2026-05-08","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"The Oscar Goes To...","QZTBA2607569","The Weatherman","The Front","825500970154","2026-04-03","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Dear Wanderer","QZTBA2607570","The Weatherman","The Front","825500970154","2026-04-03","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"The Covenant Jam","QZTBA2607571","The Weatherman","The Front","825500970154","2026-04-03","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Your Local Weather","QZTBA2607572","The Weatherman","The Front","825500970154","2026-04-03","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Weather Report","QZTBA2607573","The Weatherman","The Front","825500970154","2026-04-03","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
